trade_date,trade_id,entry_time,exit_time,spot_entry,strike,ce_symbol,pe_symbol,ce_entry,pe_entry,ce_exit,pe_exit,ce_pnl,pe_pnl,gross_pnl,charges,total_pnl,capital,roi,exit_on,cum_pnl
01-01-2021,2021-01-01_14000,01-01-2021 09:20,01-01-2021 15:15,14020.7,14000,NIFTY07JAN2114000CE,NIFTY07JAN2114000PE,131.15,117.15,120.95,94.35,765,1710,2475,59.081875,2415.918125,18622.5,12.97311384,time_exit,2415.918125
04-01-2021,2021-01-04_14100,04-01-2021 09:20,04-01-2021 11:04,14095.8,14100,NIFTY07JAN2114100CE,NIFTY07JAN2114100PE,93.15,86.3,59.2,168.6,2546.25,-6172.5,-3626.25,56.27455,-3682.52455,13458.75,-27.36156441,stoploss_hit,-1266.606425
05-01-2021,2021-01-05_14100,05-01-2021 09:20,05-01-2021 15:15,14101.75,14100,NIFTY07JAN2114100CE,NIFTY07JAN2114100PE,81.9,89.55,140.2,46.45,-4372.5,3232.5,-1140,55.6607875,-1195.660787,12858.75,-9.2984216,time_exit,-2462.267212
06-01-2021,2021-01-06_14250,06-01-2021 09:20,06-01-2021 13:50,14238.65,14250,NIFTY07JAN2114250CE,NIFTY07JAN2114250PE,52.8,81.95,23.15,147.6,2223.75,-4923.75,-2700,54.0120625,-2754.012062,10106.25,-27.25058318,stoploss_hit,-5216.279275
07-01-2021,2021-01-07_14250,07-01-2021 09:20,07-01-2021 15:01,14227.8,14250,NIFTY07JAN2114250CE,NIFTY07JAN2114250PE,27.5,49.6,0.25,97.95,2043.75,-3626.25,-1582.5,51.10105,-1633.60105,5782.5,-28.25077475,stoploss_hit,-6849.880325
08-01-2021,2021-01-08_14250,08-01-2021 09:20,08-01-2021 15:15,14235.9,14250,NIFTY14JAN2114250CE,NIFTY14JAN2114250PE,101.7,120.25,169,77.6,-5047.5,3198.75,-1848.75,58.18645,-1906.93645,16646.25,-11.45565187,time_exit,-8756.816775
11-01-2021,2021-01-11_14450,11-01-2021 09:20,11-01-2021 15:15,14430.25,14450,NIFTY14JAN2114450CE,NIFTY14JAN2114450PE,80.1,126.5,102.05,94.35,-1646.25,2411.25,765,57.2029,707.7971,15495,4.567906421,time_exit,-8049.019675
12-01-2021,2021-01-12_14450,12-01-2021 09:20,12-01-2021 15:15,14467.3,14450,NIFTY14JAN2114450CE,NIFTY14JAN2114450PE,92.5,95.9,159.25,40,-5006.25,4192.5,-813.75,56.4577375,-870.2077375,14130,-6.158582714,time_exit,-8919.227412
13-01-2021,2021-01-13_14650,13-01-2021 09:20,13-01-2021 13:35,14634.8,14650,NIFTY14JAN2114650CE,NIFTY14JAN2114650PE,45.6,90.35,19.4,152.75,1965,-4680,-2715,54.0719125,-2769.071913,10196.25,-27.15774831,stoploss_hit,-11688.29932
14-01-2021,2021-01-14_14550,14-01-2021 09:20,14-01-2021 09:49,14551.1,14550,NIFTY14JAN2114550CE,NIFTY14JAN2114550PE,41.75,40.3,17.95,89.15,1785,-3663.75,-1878.75,51.369025,-1930.119025,6153.75,-31.36492423,stoploss_hit,-13618.41835
15-01-2021,2021-01-15_14600,15-01-2021 09:20,15-01-2021 14:10,14597.55,14600,NIFTY21JAN2114600CE,NIFTY21JAN2114600PE,130.6,135.05,75.55,259.85,4128.75,-9360,-5231.25,60.62125,-5291.87125,19923.75,-26.56061861,stoploss_hit,-18910.2896
18-01-2021,2021-01-18_14400,18-01-2021 09:20,18-01-2021 15:15,14418.85,14400,NIFTY21JAN2114400CE,NIFTY21JAN2114400PE,145.15,132.75,74.3,172.9,5313.75,-3011.25,2302.5,60.5404,2241.9596,20842.5,10.75667314,time_exit,-16668.33
19-01-2021,2021-01-19_14400,19-01-2021 09:20,19-01-2021 15:15,14416.7,14400,NIFTY21JAN2114400CE,NIFTY21JAN2114400PE,110.6,99.75,185,27.3,-5580,5433.75,-146.25,57.467725,-203.717725,15776.25,-1.291293717,time_exit,-16872.04772
20-01-2021,2021-01-20_14550,20-01-2021 09:20,20-01-2021 15:15,14569.65,14550,NIFTY21JAN2114550CE,NIFTY21JAN2114550PE,76.9,68.1,113.25,17.05,-2726.25,3828.75,1102.5,54.169525,1048.330475,10875,9.63982046,time_exit,-15823.71725
21-01-2021,2021-01-21_14750,21-01-2021 09:20,21-01-2021 14:48,14727.9,14750,NIFTY21JAN2114750CE,NIFTY21JAN2114750PE,16.65,53,0.35,91.1,1222.5,-2857.5,-1635,50.7425875,-1685.742587,5223.75,-32.2707363,stoploss_hit,-17509.45984
22-01-2021,2021-01-22_14600,22-01-2021 09:20,22-01-2021 13:49,14587.7,14600,NIFTY28JAN2114600CE,NIFTY28JAN2114600PE,128.55,147.05,67.3,278.05,4593.75,-9825,-5231.25,61.1063125,-5292.356312,20670,-25.60404602,stoploss_hit,-22801.81615
25-01-2021,2021-01-25_14450,25-01-2021 09:20,25-01-2021 15:15,14456.7,14450,NIFTY28JAN2114450CE,NIFTY28JAN2114450PE,128,115,27.35,222.05,7548.75,-8028.75,-480,59.08945,-539.08945,18225,-2.957966804,time_exit,-23340.9056
27-01-2021,2021-01-27_14150,27-01-2021 09:20,27-01-2021 15:15,14167.05,14150,NIFTY28JAN2114150CE,NIFTY28JAN2114150PE,105.7,87.3,13.85,171.55,6888.75,-6318.75,570,56.55745,513.44255,14475,3.547098791,time_exit,-22827.46305
28-01-2021,2021-01-28_13800,28-01-2021 09:20,28-01-2021 15:15,13812.55,13800,NIFTY28JAN2113800CE,NIFTY28JAN2113800PE,71.35,51.75,23.75,0.8,3570,3821.25,7391.25,52.5359125,7338.714088,9232.5,79.48783198,time_exit,-15488.74896
