entry_time,exit_time,spot_entry,day_open,strike,ce_symbol,pe_symbol,ce_entry,pe_entry,ce_exit,pe_exit,ce_pnl,pe_pnl,gross_pnl,charges,total_pnl,cum_pnl
2021-01-01 09:20:00,2021-01-01 14:00:00,14020.7,13997.9,14000,NIFTY07JAN2114000CE,NIFTY07JAN2114000PE,131.15,117.15,126.15,89.25,375.0,2092.5000000000005,2467.5000000000005,59.08255,2408.4174500000004,2408.4174500000004
2021-01-04 09:20:00,2021-01-04 11:00:00,14095.8,14104.35,14100,NIFTY07JAN2114100CE,NIFTY07JAN2114100PE,93.15,86.3,60.15,157.0,2475.0000000000005,-5302.5,-2827.4999999999995,56.2026625,-2883.7026624999994,-475.28521249999903
2021-01-05 09:20:00,2021-01-05 14:00:00,14101.75,14075.15,14100,NIFTY07JAN2114100CE,NIFTY07JAN2114100PE,81.9,89.55,109.55,56.75,-2073.7499999999995,2460.0,386.25000000000045,55.523425,330.7265750000005,-144.55863749999855
2021-01-06 09:20:00,2021-01-06 13:39:00,14238.65,14240.95,14250,NIFTY07JAN2114250CE,NIFTY07JAN2114250PE,52.8,81.95,28.85,114.15,1796.2499999999998,-2415.0,-618.7500000000002,53.82475,-672.5747500000002,-817.1333874999988
2021-01-07 09:20:00,2021-01-07 11:02:00,14227.8,14253.75,14250,NIFTY07JAN2114250CE,NIFTY07JAN2114250PE,27.5,49.6,9.5,85.2,1350.0,-2670.0,-1320.0,51.077425,-1371.077425,-2188.2108124999986
2021-01-08 09:20:00,2021-01-08 14:00:00,14235.9,14258.4,14250,NIFTY14JAN2114250CE,NIFTY14JAN2114250PE,101.7,120.25,136.75,94.3,-2628.75,1946.2500000000002,-682.4999999999998,58.081487499999994,-740.5814874999998,-2928.7922999999982
2021-01-11 09:20:00,2021-01-11 14:00:00,14430.25,14474.05,14450,NIFTY14JAN2114450CE,NIFTY14JAN2114450PE,80.1,126.5,93.95,107.2,-1038.7500000000007,1447.4999999999998,408.7499999999991,57.2349625,351.5150374999991,-2577.2772624999993
2021-01-12 09:20:00,2021-01-12 13:32:00,14467.3,14473.8,14450,NIFTY14JAN2114450CE,NIFTY14JAN2114450PE,92.5,95.9,159.7,51.0,-5039.999999999999,3367.5000000000005,-1672.4999999999986,56.535025,-1729.0350249999985,-4306.312287499998
2021-01-13 09:20:00,2021-01-13 11:39:00,14634.8,14644.1,14650,NIFTY14JAN2114650CE,NIFTY14JAN2114650PE,45.6,90.35,34.75,119.0,813.7500000000001,-2148.7500000000005,-1335.0000000000005,53.94771249999999,-1388.9477125000005,-5695.259999999998
2021-01-14 09:20:00,2021-01-14 14:00:00,14551.1,14550.05,14550,NIFTY14JAN2114550CE,NIFTY14JAN2114550PE,41.75,40.3,48.7,6.9,-521.2500000000002,2505.0,1983.7499999999998,51.0214,1932.7285999999997,-3762.531399999999
2021-01-15 09:20:00,2021-01-15 09:45:00,14597.55,14594.35,14600,NIFTY21JAN2114600CE,NIFTY21JAN2114600PE,130.6,135.05,101.95,193.15,2148.7499999999995,-4357.5,-2208.7500000000005,60.349225,-2269.0992250000004,-6031.630625
2021-01-18 09:20:00,2021-01-18 09:31:00,14418.85,14453.3,14400,NIFTY21JAN2114400CE,NIFTY21JAN2114400PE,145.15,132.75,125.1,160.5,1503.750000000001,-2081.25,-577.4999999999991,60.7996,-638.2995999999991,-6669.930224999999
2021-01-19 09:20:00,2021-01-19 11:48:00,14416.7,14371.65,14400,NIFTY21JAN2114400CE,NIFTY21JAN2114400PE,110.6,99.75,138.55,64.0,-2096.2500000000014,2681.25,584.9999999999986,57.4019125,527.5980874999987,-6142.3321375000005
2021-01-20 09:20:00,2021-01-20 13:48:00,14569.65,14538.3,14550,NIFTY21JAN2114550CE,NIFTY21JAN2114550PE,76.9,68.1,103.25,26.25,-1976.2499999999995,3138.7499999999995,1162.5,54.164125000000006,1108.335875,-5033.996262500001
2021-01-21 09:20:00,2021-01-21 14:00:00,14727.9,14730.95,14750,NIFTY21JAN2114750CE,NIFTY21JAN2114750PE,16.65,53.0,8.6,23.7,603.7499999999999,2197.5,2801.25,50.34332499999999,2750.906675,-2283.0895875000006
2021-01-22 09:20:00,2021-01-22 11:15:00,14587.7,14583.4,14600,NIFTY28JAN2114600CE,NIFTY28JAN2114600PE,128.55,147.05,94.05,198.2,2587.500000000001,-3836.249999999998,-1248.7499999999973,60.7478875,-1309.4978874999972,-3592.5874749999975
2021-01-25 09:20:00,2021-01-25 09:40:00,14456.7,14477.8,14450,NIFTY28JAN2114450CE,NIFTY28JAN2114450PE,128.0,115.0,84.65,173.65,3251.2499999999995,-4398.75,-1147.5000000000005,59.14952499999999,-1206.6495250000005,-4799.236999999998
2021-01-27 09:20:00,2021-01-27 09:22:00,14167.05,14237.95,14150,NIFTY28JAN2114150CE,NIFTY28JAN2114150PE,105.7,87.3,98.75,92.25,521.2500000000002,-371.2500000000002,150.0,56.595249999999986,93.40475,-4705.832249999999
2021-01-28 09:20:00,2021-01-28 13:04:00,13812.55,13810.4,13800,NIFTY28JAN2113800CE,NIFTY28JAN2113800PE,71.35,51.75,13.9,94.2,4308.75,-3183.75,1125.0,53.099875,1071.9001250000001,-3633.9321249999985
